"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"285",10,"Kareem Hunt",FA,"136.4","0","0","18","143","1","163","611","8"
"286",10,"Jahan Dotson",ATL,"41.2","0","0","18","262","1","0","0","0"
"287",10,"Joe Mixon",FA,"0","0","0","0","0","0","0","0","0"
"288",10,"Elijah Arroyo",SEA,"29.4","0","0","15","179","1","0","0","0"
"289",10,"Jalen Tolbert",MIA,"37.3","0","0","18","203","1","0","0","0"
"290",10,"DeMario Douglas",NE,"80.3","0","0","31","447","3","7","21","0"
"291",10,"Erick All Jr.",CIN,"0","0","0","0","0","0","0","0","0"
"292",10,"Eli Raridon",NE,"0","0","0","0","0","0","0","0","0"
"293",10,"Cedric Tillman",CLE,"49.5","0","0","21","270","2","0","0","0"
"294",10,"Noah Gray",KC,"28.3","0","0","21","178","0","0","0","0"
"295",10,"Tyler Higbee",LAR,"58.6","0","0","25","281","3","0","0","0"
"296",10,"Bryce Lance",NO,"0","0","0","0","0","0","0","0","0"
"297",11,"Konata Mumpfield",LAR,"20.2","0","0","10","92","1","0","0","0"
"298",11,"Cole Kmet",CHI,"63.7","0","0","30","347","2","0","0","0"
"299",11,"Dawson Knox",BUF,"85.7","0","0","36","417","4","0","0","0"
"300",11,"Calvin Austin III",NYG,"70.7","0","0","31","372","3","0","0","0"
"301",11,"Tez Johnson",TB,"78.6","0","0","28","322","5","8","24","0"
"302",11,"Xavier Hutchinson",HOU,"80.5","0","0","35","428","3","3","22","0"
"303",11,"Charlie Kolar",LAC,"31.2","0","0","10","142","2","0","0","0"
"304",11,"Max Klare",LAR,"0","0","0","0","0","0","0","0","0"
"305",11,"Luke McCaffrey",WAS,"45.8","0","0","11","203","3","0","0","0"
"306",11,"Chris Brazzell II",CAR,"0","0","0","0","0","0","0","0","0"
"307",11,"Bam Knight",ARI,"81.9","0","0","22","160","1","82","269","4"
"308",11,"Jalen Royals",KC,"1.4","0","0","2","4","0","0","0","0"
"309",11,"Olamide Zaccheaus",ATL,"65.3","0","0","39","313","2","4","25","0"
"310",11,"Joshua Palmer",BUF,"41.3","0","0","22","303","0","0","0","0"
"311",11,"Ja'Tavion Sanders",CAR,"39.5","0","0","29","190","1","0","0","0"
"312",11,"Brenen Thompson",LAC,"0","0","0","0","0","0","0","0","0"
"313",11,"Kendrick Bourne",ARI,"73.6","0","0","37","551","0","0","0","0"
"314",11,"Eli Heidenreich",PIT,"0","0","0","0","0","0","0","0","0"
"315",11,"Justin Joly",DEN,"0","0","0","0","0","0","0","0","0"
"316",11,"Carson Beck",ARI,"0","0","0","0","0","0","0","0","0"
"317",11,"Treylon Burks",WAS,"24","0","0","10","130","1","0","0","0"
"318",11,"Michael Carter",TEN,"82.5","0","0","33","267","0","92","333","1"
"319",11,"J.J. McCarthy",MIN,"137.4","1632","11","0","0","0","37","181","4"
"320",11,"Dont'e Thornton Jr.",LV,"18.5","0","0","10","135","0","0","0","0"
"321",11,"Jawhar Jordan",HOU,"26.2","0","0","7","34","0","43","193","0"
"322",11,"Kalif Raymond",CHI,"54.8","0","0","24","289","1","2","19","0"
"323",11,"Tommy Tremble",CAR,"50.4","0","0","27","249","2","0","0","0"
