"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"270",13,"Marvin Jones Jr.",FA,"4","10","5","35","0","0","0","0"
"271",13,"Mason Kinsey",TEN,"1.1","1","1","6","0","0","0","0"
"272",13,"Julio Jones",FA,"30.9","19","11","74","3","0","0","0"
"273",13,"Shedrick Jackson",CIN,"0","1","0","0","0","0","0","0"
"274",13,"James Proche II",CLE,"-2","5","0","0","0","0","0","0"
"275",13,"Jaxon Janke",FA,"0","0","0","0","0","0","0","0"
"276",13,"Mike Strachan",FA,"5","3","1","45","0","0","0","0"
"277",13,"Jordan Matthews",CAR,"0","0","0","0","0","0","0","0"
"278",13,"Xavier Smith",LAR,"0","0","0","0","0","0","0","0"
"279",13,"Stanley Morgan Jr.",FA,"0","0","0","0","0","0","0","0"
"280",13,"Daniel Arias",FA,"0","0","0","0","0","0","0","0"
"281",13,"Anthony Miller",BAL,"0","0","0","0","0","0","0","0"
"282",13,"Quintez Cephus",FA,"0","0","0","0","0","0","0","0"
"283",13,"Hakeem Butler",FA,"0","0","0","0","0","0","0","0"
"284",13,"Kevin Austin Jr.",NO,"0","0","0","0","0","0","0","0"
"285",13,"Kaden Davis",FA,"0","0","0","0","0","0","0","0"
"286",13,"Kristian Wilkerson",LV,"0","0","0","0","0","0","0","0"
"287",13,"Tyler Davis",FA,"0","0","0","0","0","0","0","0"
"288",14,"Kaylon Geiger Sr.",FA,"0","0","0","0","0","0","0","0"
"289",14,"Randall Cobb",FA,"14.4","17","5","39","1","0","0","0"
"290",14,"Jeff Cotton Jr.",FA,"0","0","0","0","0","0","0","0"
"291",14,"Danny Gray",FA,"0","0","0","0","0","0","0","0"
"292",14,"Mitchell Tinsley",WAS,"0","0","0","0","0","0","0","0"
"293",14,"Penny Hart",FA,"0","0","0","0","0","0","0","0"
"294",14,"Kazmeir Allen",WAS,"0","0","0","0","0","0","0","0"
"295",14,"Willie Snead IV",FA,"2.4","3","2","14","0","0","0","0"
"296",14,"Alex Bachman",LV,"0","0","0","0","0","0","0","0"
"297",14,"Dax Milne",FA,"0","0","0","0","0","0","0","0"
"298",14,"Marcus Kemp",FA,"0","0","0","0","0","0","0","0"
"299",14,"Andre Baccellia",ARI,"0","0","0","0","0","0","0","0"
"300",14,"Lucky Jackson",MIN,"0","0","0","0","0","0","0","0"
"301",14,"Jarvis Landry",FA,"0","0","0","0","0","0","0","0"
"302",14,"Austin Mack",FA,"0","0","0","0","0","0","0","0"
"303",14,"Andy Isabella",FA,"0","0","0","0","0","0","0","0"
"304",14,"Jaelon Darden",CLE,"0","0","0","0","0","0","0","0"
"305",14,"Damiere Byrd",FA,"0","2","0","0","0","0","0","0"
"306",14,"Jalen Moreno-Cropper",DAL,"0","0","0","0","0","0","0","0"
"307",14,"Martavis Bryant",FA,"0","0","0","0","0","0","0","0"
"308",14,"J. Michael Sturdivant",FA,"0","0","0","0","0","0","0","0"
"309",14,"James Butler",FA,"0","0","0","0","0","0","0","0"
"310",14,"Reggie Begelton",FA,"0","0","0","0","0","0","0","0"
"311",14,"Tyre Brady",FA,"0","0","0","0","0","0","0","0"
"312",14,"De'Corian Clark",FA,"0","0","0","0","0","0","0","0"
"313",14,"Moose Muhammad III",FA,"0","0","0","0","0","0","0","0"
"314",14,"Tory Horton",FA,"0","0","0","0","0","0","0","0"
"315",14,"Theo Wease",FA,"0","0","0","0","0","0","0","0"
