"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"231",10,"Kendre Miller",NO,"38.3","0","0","10","117","0","41","156","1"
"232",10,"Chicago Bears",CHI,"120","0","0","0","0","0","0","0","0"
"233",10,"Jonnu Smith",MIA,"99.2","0","0","50","582","3","1","0","0"
"234",10,"Will Shipley",PHI,"0","0","0","0","0","0","0","0","0"
"235",10,"DJ Chark Jr.",LAC,"98","0","0","35","525","5","0","0","0"
"236",10,"Malachi Corley",NYJ,"0","0","0","0","0","0","0","0","0"
"237",10,"Indianapolis Colts",IND,"139","0","0","0","0","0","0","0","0"
"238",10,"Trey Sermon",IND,"18.8","0","0","3","13","0","35","160","0"
"239",10,"Clyde Edwards-Helaire",KC,"61.6","0","0","17","188","1","70","223","1"
"240",10,"Jamaal Williams",NO,"51.8","0","0","18","62","0","106","306","1"
"241",10,"Samaje Perine",KC,"96.3","0","0","50","455","0","53","238","1"
"242",10,"Kendrick Bourne",NE,"81.5","0","0","37","406","4","1","4","0"
"243",10,"Matt Gay",IND,"157","0","0","0","0","0","0","0","0"
"244",10,"Cameron Dicker",LAC,"151","0","0","0","0","0","0","0","0"
"245",10,"Troy Franklin",DEN,"0","0","0","0","0","0","0","0","0"
"246",10,"Luke McCaffrey",WAS,"0","0","0","0","0","0","0","0","0"
"247",10,"Miles Sanders",CAR,"74.1","0","0","27","154","0","129","432","1"
"248",10,"Justin Fields",PIT,"239.2","2562","16","0","0","0","124","657","4"
"249",10,"Gardner Minshew II",LV,"205.2","3305","15","0","0","0","34","100","3"
"250",10,"Dylan Laube",LV,"0","0","0","0","0","0","0","0","0"
"251",10,"Cairo Santos",CHI,"158","0","0","0","0","0","0","0","0"
"252",10,"Zach Ertz",WAS,"38.2","0","0","27","187","1","0","0","0"
"253",10,"Greg Dortch",ARI,"52.5","0","0","24","280","2","1","5","0"
"254",10,"Michael Mayer",LV,"57.9","0","0","27","304","2","0","0","0"
"255",10,"Josh Reynolds",DEN,"108.8","0","0","40","608","5","0","0","0"
"256",10,"Javon Baker",NE,"0","0","0","0","0","0","0","0","0"
"257",10,"Detroit Lions",DET,"107","0","0","0","0","0","0","0","0"
"258",10,"Keaton Mitchell",BAL,"65.4","0","0","9","93","0","47","396","2"
"259",10,"Ja'Tavion Sanders",CAR,"0","0","0","0","0","0","0","0","0"
"260",10,"Dustin Hopkins",CLE,"149","0","0","0","0","0","0","0","0"
"261",10,"Odell Beckham Jr.",MIA,"90","0","0","35","565","3","0","0","0"
"262",10,"A.T. Perry",NO,"54.6","0","0","12","246","4","0","0","0"
"263",10,"Jason Myers",SEA,"158","0","0","0","0","0","0","0","0"
"264",10,"Jalen Tolbert",DAL,"47.8","0","0","22","268","2","0","0","0"
"265",10,"Jonathan Mingo",CAR,"63.3","0","0","43","418","0","0","0","0"
"266",10,"Cam Akers",HOU,"41.2","0","0","11","70","0","60","167","2"
"267",10,"Eric Gray",NYG,"10","0","0","6","22","0","17","48","0"
"268",10,"Gerald Everett",CHI,"85.6","0","0","51","411","3","3","10","0"
"269",10,"Treylon Burks",TEN,"31.9","0","0","16","221","0","5","18","0"
"270",10,"Dawson Knox",BUF,"43.6","0","0","22","186","2","0","0","0"
"271",10,"Cincinnati Bengals",CIN,"118","0","0","0","0","0","0","0","0"
"272",10,"K.J. Osborn",NE,"96","0","0","48","540","3","0","0","0"
"273",10,"D'Onta Foreman",CLE,"85.7","0","0","11","77","1","109","425","4"
"274",10,"Minnesota Vikings",MIN,"124","0","0","0","0","0","0","0","0"
